<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
281A,"（対象局番：26局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
281B,"（対象局番：27局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
281C,"（対象局番：28局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
281D,"（対象局番：29局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
281E,"（対象局番：30局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
281F,"（対象局番：31局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2820,"（対象局番：32局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2821,"（対象局番：33局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2822,"（対象局番：34局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2823,"（対象局番：35局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2824,"（対象局番：36局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2825,"（対象局番：37局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2826,"（対象局番：38局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2827,"（対象局番：39局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2828,"（対象局番：40局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2829,"（対象局番：41局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
282A,"（対象局番：42局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
282B,"（対象局番：43局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
282C,"（対象局番：44局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
282D,"（対象局番：45局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
282E,"（対象局番：46局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
282F,"（対象局番：47局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2830,"（対象局番：48局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2831,"（対象局番：49局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2832,"（対象局番：50局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2833,"（対象局番：51局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2834,"（対象局番：52局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2835,"（対象局番：53局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2836,"（対象局番：54局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2837,"（対象局番：55局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2838,"（対象局番：56局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2839,"（対象局番：57局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
283A,"（対象局番：58局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
283B,"（対象局番：59局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
283C,"（対象局番：60局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
283D,"（対象局番：61局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
283E,"（対象局番：62局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
283F,"（対象局番：63局）
コネクション確立時に予期しない不正データを受信した。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2900,"（対象局番：00局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2901,"（対象局番：01局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2902,"（対象局番：02局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2903,"（対象局番：03局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2904,"（対象局番：04局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2905,"（対象局番：05局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2906,"（対象局番：06局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2907,"（対象局番：07局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2908,"（対象局番：08局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2909,"（対象局番：09局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
290A,"（対象局番：10局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
290B,"（対象局番：11局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
290C,"（対象局番：12局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
290D,"（対象局番：13局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
290E,"（対象局番：14局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
290F,"（対象局番：15局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2910,"（対象局番：16局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2911,"（対象局番：17局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2912,"（対象局番：18局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2913,"（対象局番：19局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2914,"（対象局番：20局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2915,"（対象局番：21局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2916,"（対象局番：22局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2917,"（対象局番：23局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2918,"（対象局番：24局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2919,"（対象局番：25局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
291A,"（対象局番：26局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
291B,"（対象局番：27局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
291C,"（対象局番：28局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
291D,"（対象局番：29局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
291E,"（対象局番：30局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
291F,"（対象局番：31局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2920,"（対象局番：32局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2921,"（対象局番：33局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2922,"（対象局番：34局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2923,"（対象局番：35局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2924,"（対象局番：36局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2925,"（対象局番：37局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2926,"（対象局番：38局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2927,"（対象局番：39局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2928,"（対象局番：40局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2929,"（対象局番：41局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
292A,"（対象局番：42局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
292B,"（対象局番：43局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
292C,"（対象局番：44局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
292D,"（対象局番：45局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
292E,"（対象局番：46局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
292F,"（対象局番：47局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2930,"（対象局番：48局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2931,"（対象局番：49局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2932,"（対象局番：50局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2933,"（対象局番：51局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2934,"（対象局番：52局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2935,"（対象局番：53局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2936,"（対象局番：54局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2937,"（対象局番：55局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2938,"（対象局番：56局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2939,"（対象局番：57局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
293A,"（対象局番：58局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
293B,"（対象局番：59局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
293C,"（対象局番：60局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
293D,"（対象局番：61局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
293E,"（対象局番：62局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
293F,"（対象局番：63局）
そのスレーブ局とはすでにコネクションが張られている。","・しばらく様子を見て，コネクションが確立できない場合には，
  スレーブ局をリセットする。"
2A00,"（対象局番：00局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A01,"（対象局番：01局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A02,"（対象局番：02局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A03,"（対象局番：03局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A04,"（対象局番：04局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A05,"（対象局番：05局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A06,"（対象局番：06局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A07,"（対象局番：07局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A08,"（対象局番：08局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A09,"（対象局番：09局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A0A,"（対象局番：10局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A0B,"（対象局番：11局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A0C,"（対象局番：12局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A0D,"（対象局番：13局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A0E,"（対象局番：14局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A0F,"（対象局番：15局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A10,"（対象局番：16局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A11,"（対象局番：17局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A12,"（対象局番：18局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A13,"（対象局番：19局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A14,"（対象局番：20局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A15,"（対象局番：21局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A16,"（対象局番：22局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A17,"（対象局番：23局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A18,"（対象局番：24局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A19,"（対象局番：25局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A1A,"（対象局番：26局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A1B,"（対象局番：27局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A1C,"（対象局番：28局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A1D,"（対象局番：29局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A1E,"（対象局番：30局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A1F,"（対象局番：31局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A20,"（対象局番：32局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A21,"（対象局番：33局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A22,"（対象局番：34局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A23,"（対象局番：35局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A24,"（対象局番：36局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A25,"（対象局番：37局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A26,"（対象局番：38局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A27,"（対象局番：39局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A28,"（対象局番：40局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A29,"（対象局番：41局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A2A,"（対象局番：42局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A2B,"（対象局番：43局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A2C,"（対象局番：44局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A2D,"（対象局番：45局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A2E,"（対象局番：46局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A2F,"（対象局番：47局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A30,"（対象局番：48局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A31,"（対象局番：49局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A32,"（対象局番：50局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A33,"（対象局番：51局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A34,"（対象局番：52局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A35,"（対象局番：53局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A36,"（対象局番：54局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A37,"（対象局番：55局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
2A38,"（対象局番：56局）
ポーリング応答のデータ長が，コネクション確立時に
スレーブ局から読み出したデータ長と異なる。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を総合的に調べる。"
