<GROUP>,,,
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット、インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのマニュアルを参照ください。,ERR_QJ61BT11.csv
E000-EFFF,CC IE Controlユニットのエラー,CC IE Controlユニットのマニュアルを参照ください。,ERR_QJ71GP21.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
C001,"・イニシャル処理時の，EthernetユニットのIPアドレスの設定値に誤りがある。
・ルータ中継機能を使用時，サブネットマスクフィールドの設定値に誤りがある。","・IPアドレスを修正する。
クラスはA/B/Cにする｡
・サブネットマスクを修正する。",
C002,イニシャル処理時の各種タイマの設定値の中で，許容範囲外の設定値がある。,・イニシャル処理時の各種タイマの設定値を見直し修正する。,
C003,イニシャル処理時の自動オープンUDPポート番号の設定値が許容範囲外である。,・自動オープンUDPポート番号を修正する。,
C004,サブネットマスクフィールドの設定値に誤りがある。,・サブネットマスクを修正し，イニシャル処理を再度行う。,
C005,"・ルータ中継機能用のデフォルトルータIPアドレスの設定値に誤りがある。
・デフォルトルータIPアドレスのネットID（サブネットマスク後のネットID）が自局EthernetユニットのIPアドレスのネットIDと異なる。","・デフォルトルータIPアドレスを修正し，イニシャル処理を再度行う。
・自局EthernetユニットのIPアドレスのネットIDと同じにする。",
C153,"受信メール一覧の取得でエラーが発生した。
（POP3サーバに届いているメールの一覧取得に失敗した）",・サーバ問合わせ時間をデフォルト値に戻し，自局シーケンサCPUの再立上げを行う。
C154,"メール受信でエラーが発生した。
（POP3サーバからメールを読み出せない）","・メールが圧縮，暗号化されていないか確認する。
・送信側がEthernetユニットと同じ電子メール仕様になっているか確認する。
（エンコード／デコード，ファイル形式など）"
C160,タイムアウト後にDNSサーバからの返答を受信した。,"・ネットワークに負荷がないか確認する。
・DNSサーバの状態を確認する。"
C161,DNSサーバからの返答を受信できなかった。,"・ネットワークに負荷がないか確認する。
・DNSサーバの状態を確認する。"
C162,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C163,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C171,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C172,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C173,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C174,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C175,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C176,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C177,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C178,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C179,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C17A,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C17B,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C17C,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C17D,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C17E,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C17F,DNSサーバからエラー返答された。,"・DNSサーバのIPアドレス設定が間違っていないか確認する。
・メールサーバ名（SMTPサーバ名，POPサーバ名）の設定が間違っていないか確認する。
・「DNS設定」で設定したサーバのDNS機能が動作していることを，ネットワークの管理者などに確認する。"
C1A0,不正な要求が行われた。,"・再度実行する。
同じエラーが発生するときは，Ethernetユニットのハードウェア異常と思われます。
恐れ入りますが，不具合内容の詳細を付けて最寄りの支社または代理店にご相談ください。"
C1A2,要求に対する応答を受信できなかった。,・応答待ち時間を見直し修正する。
C1A4,リクエスト，サブリクエストに誤りがある。,・リクエスト，サブリクエストを修正する。
C1A5,対象局またはクリア対象の指定に誤りがある。,・対象局またはクリア対象の指定値を修正する。
C1A6,コネクションNo.の指定に誤りがある。,・コネクションNo.は，1～16で指定する。
C1A7,ネットワーク番号の指定に誤りがある。,・ネットワーク番号の指定値を修正する。
C1A8,局番号の指定に誤りがある。,・局番号の指定値を修正する。
C1A9,デバイスNo.の指定に誤りがある。,・デバイスNo.の指定値を修正する。
C1AA,デバイス名の指定に誤りがある。,・デバイス名の指定値を修正する。
C1AC,再送回数の指定に誤りがある。,・再送回数の指定値を修正する。
C1AD,データ長の指定に誤りがある。,・データ長の指定値を修正する。
C1AE,メール送信／受信データ長，ヘッダ長の指定に誤りがある。,"・送信／受信データ長，ヘッダ長の指定値を範囲内に修正する。
・送信／受信データ≧ヘッダ長とする。"
C1AF,ポート番号の指定に誤りがある。,・ポート番号の指定値を修正する。
C1B0,指定されたコネクションはすでにオープン処理が完了している。,・クローズ処理を行ってからオープン処理を行う。
C1B1,指定されたコネクションはオープン処理が完了していない。,・オープン処理を行う。
C1B2,指定されたコネクションはOPEN/CLOSE命令を実行中である。,・OPEN/CLOSE命令が完了してから実行する。
C1B3,指定されたチャネルは他の送受信命令が実行中である。,"・チャネル番号を変更する。
・送受信命令が完了してから実行する。"
C1B4,到達時間の指定に誤りがある。,・到達監視時間を範囲内で設定する。
C1B5,指定された到達監視時間以内にデータを受信できなかった。,・到達監視時間の指定値を見直す。
C1B6,メール送信先No.の指定に誤りがある。,"・メール送信先No.の指定値を見直す。
・パラメータの送信メールアドレス設定を見直す。"
C1B7,メールバッファデータエリアに受信メールが格納されていないときに読み出しを実行した。,・メール情報のメール受信の有無が「有り」のときにMRECV命令を実行する。
C1B8,データを受信していないチャネルに対して、RECV命令を実行した。,"・RECV命令の実行条件を見直す。
・チャネル番号を見直す。"
C1B9,指定されたコネクションに対してOPEN命令を実行できない。,・コネクション番号を見直す。
C1BA,イニシャル未完了状態で専用命令を実行した。,・イニシャル処理完了後に専用命令を実行する。
C1BB,対象局CPU種別に誤りがある。,・対象局CPU種別の指定値を見直す。
C200,リモートパスワードに誤りがある。,・リモートパスワードを見直し，リモートパスワードのアンロック処理／ロック処理を再実行する。
C201,交信に使ったポートがリモートパスワードのロック状態である。,・リモートパスワードのアンロック処理を実行した後，交信を行う。
C202,他局アクセスを行ったときに，リモートパスワードのアンロック処理ができなかった。,・他局アクセスを行う場合，中継局，アクセス局にはリモートパスワードを設定しない，またはリモートパスワードチェックの対象外に設定する。
C203,"システムエラー
・OSが何らかの異常を検出した。","・以下の手順で対処する。
(1) Ethernetユニット，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) Ethernetユニットの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) Ethernetユニット，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますがエラーが発生した際の操作/交信状況や，Ethernetユニットのバッファメモリ内エラーログエリアに格納される情報と合わせ，最寄の支社または代理店にご相談ください。"
C204,リモートパスワードのアンロック処理を要求した機器と異なる。,・リモートパスワードのアンロック処理を要求した相手機器からリモートパスワードのロック処理を要求する。
C205,他局アクセスを行ったときに，リモートパスワードのアンロック処理ができなかった。,・他局アクセスを行う場合，中継局，アクセス局にはリモートパスワードを設定しない，またはリモートパスワードチェックの対象外に設定する。
C206,"システムエラー
・OSが何らかの異常を検出した。","・以下の手順で対処する。
(1) Ethernetユニット，電源ユニット，CPUユニットがベースユニットに正しく装着されているかを確認する。
(2) Ethernetユニットの使用環境が，CPUユニットの一般仕様の範囲内かを確認する。
(3) 電源容量が足りているかを確認する。
(4) Ethernetユニット，CPUユニット，ベースユニットについて，各ユニットのマニュアルに従いハードウェアが正常であるかを確認する。故障の場合は，恐れ入りますが最寄の支社または代理店に修理をご依頼ください。
(5) 以上で問題が解決できない場合は，恐れ入りますがエラーが発生した際の操作/交信状況や，Ethernetユニットのバッファメモリ内エラーログエリアに格納される情報と合わせ，最寄の支社または代理店にご相談ください。"
C207,ファイル名の文字数が長すぎる。,ファイル名の文字数を255文字以下にする。
C300,レスポンス監視タイマ値以内に，レスポンスを受信できなかった。,"・相手機器の動作を確認する。
・レスポンス監視タイマ値を見直し修正する。"
</ERRCODE>,,
