<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"The node No. (MAC ID) value is out of range.
The mode switch value is out of range.","Set the node No. within the range of 0 to 63.
Set the mode switch to any other than D to F."
2A2C,"(The node No.44)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A2D,"(The node No.45)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A2E,"(The node No.46)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A2F,"(The node No.47)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A30,"(The node No.48)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A31,"(The node No.49)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A32,"(The node No.50)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A33,"(The node No.51)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A34,"(The node No.52)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A35,"(The node No.53)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A36,"(The node No.54)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A37,"(The node No.55)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A38,"(The node No.56)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A39,"(The node No.57)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A3A,"(The node No.58)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A3B,"(The node No.59)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A3C,"(The node No.60)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A3D,"(The node No.61)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A3E,"(The node No.62)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2A3F,"(The node No.63)
The data length of a polling response is different from the length of the data that was read from the slave node when a connection was established.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B00,"(The node No.00)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B01,"(The node No.01)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B02,"(The node No.02)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B03,"(The node No.03)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B04,"(The node No.04)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B05,"(The node No.05)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B06,"(The node No.06)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B07,"(The node No.07)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B08,"(The node No.08)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B09,"(The node No.09)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B0A,"(The node No.10)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B0B,"(The node No.11)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B0C,"(The node No.12)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B0D,"(The node No.13)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B0E,"(The node No.14)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B0F,"(The node No.15)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B10,"(The node No.16)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B11,"(The node No.17)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B12,"(The node No.18)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B13,"(The node No.19)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B14,"(The node No.20)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B15,"(The node No.21)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B16,"(The node No.22)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B17,"(The node No.23)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B18,"(The node No.24)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B19,"(The node No.25)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B1A,"(The node No.26)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B1B,"(The node No.27)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B1C,"(The node No.28)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B1D,"(The node No.29)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B1E,"(The node No.30)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B1F,"(The node No.31)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B20,"(The node No.32)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B21,"(The node No.33)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B22,"(The node No.34)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B23,"(The node No.35)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B24,"(The node No.36)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B25,"(The node No.37)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B26,"(The node No.38)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B27,"(The node No.39)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B28,"(The node No.40)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B29,"(The node No.41)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B2A,"(The node No.42)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B2B,"(The node No.43)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B2C,"(The node No.44)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B2D,"(The node No.45)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B2E,"(The node No.46)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B2F,"(The node No.47)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B30,"(The node No.48)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B31,"(The node No.49)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B32,"(The node No.50)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B33,"(The node No.51)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B34,"(The node No.52)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B35,"(The node No.53)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B36,"(The node No.54)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B37,"(The node No.55)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B38,"(The node No.56)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B39,"(The node No.57)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B3A,"(The node No.58)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B3B,"(The node No.59)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B3C,"(The node No.60)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B3D,"(The node No.61)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B3E,"(The node No.62)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2B3F,"(The node No.63)
When a polling response was divided into several data units, the first data unit was received twice.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C00,"(The node No.00)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C01,"(The node No.01)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C02,"(The node No.02)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C03,"(The node No.03)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C04,"(The node No.04)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C05,"(The node No.05)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C06,"(The node No.06)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C07,"(The node No.07)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C08,"(The node No.08)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C09,"(The node No.09)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C0A,"(The node No.10)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C0B,"(The node No.11)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C0C,"(The node No.12)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C0D,"(The node No.13)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C0E,"(The node No.14)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C0F,"(The node No.15)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C10,"(The node No.16)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C11,"(The node No.17)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C12,"(The node No.18)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C13,"(The node No.19)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C14,"(The node No.20)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C15,"(The node No.21)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C16,"(The node No.22)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C17,"(The node No.23)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C18,"(The node No.24)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C19,"(The node No.25)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C1A,"(The node No.26)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C1B,"(The node No.27)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C1C,"(The node No.28)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C1D,"(The node No.29)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C1E,"(The node No.30)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C1F,"(The node No.31)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C20,"(The node No.32)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C21,"(The node No.33)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C22,"(The node No.34)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C23,"(The node No.35)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C24,"(The node No.36)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C25,"(The node No.37)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C26,"(The node No.38)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C27,"(The node No.39)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C28,"(The node No.40)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C29,"(The node No.41)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C2A,"(The node No.42)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C2B,"(The node No.43)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C2C,"(The node No.44)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C2D,"(The node No.45)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C2E,"(The node No.46)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C2F,"(The node No.47)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C30,"(The node No.48)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C31,"(The node No.49)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C32,"(The node No.50)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C33,"(The node No.51)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C34,"(The node No.52)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C35,"(The node No.53)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C36,"(The node No.54)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C37,"(The node No.55)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C38,"(The node No.56)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C39,"(The node No.57)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C3A,"(The node No.58)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C3B,"(The node No.59)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C3C,"(The node No.60)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C3D,"(The node No.61)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C3E,"(The node No.62)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2C3F,"(The node No.63)
When a polling response was divided into several data blocks, data of an unexpected number was received.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D00,"(The node No.00)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D01,"(The node No.01)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D02,"(The node No.02)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D03,"(The node No.03)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D04,"(The node No.04)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D05,"(The node No.05)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D06,"(The node No.06)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D07,"(The node No.07)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D08,"(The node No.08)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D09,"(The node No.09)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D0A,"(The node No.10)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D0B,"(The node No.11)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D0C,"(The node No.12)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D0D,"(The node No.13)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D0E,"(The node No.14)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D0F,"(The node No.15)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D10,"(The node No.16)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D11,"(The node No.17)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D12,"(The node No.18)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D13,"(The node No.19)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D14,"(The node No.20)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D15,"(The node No.21)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D16,"(The node No.22)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D17,"(The node No.23)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D18,"(The node No.24)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D19,"(The node No.25)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D1A,"(The node No.26)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D1B,"(The node No.27)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D1C,"(The node No.28)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D1D,"(The node No.29)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D1E,"(The node No.30)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D1F,"(The node No.31)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D20,"(The node No.32)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D21,"(The node No.33)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D22,"(The node No.34)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
